icd_code,icd_version,long_title,cancer_type
C50521,10,Malignant neoplasm of lower-outer quadrant of right male breast,Breast Cancer
C508,10,Malignant neoplasm of overlapping sites of breast,Breast Cancer
C5082,10,"Malignant neoplasm of overlapping sites of breast, male",Breast Cancer
C52,10,Malignant neoplasm of vagina,Malignant neoplasm of vagina
C740,10,Malignant neoplasm of cortex of adrenal gland,Malignant neoplasm of adrenal gland
C799,10,Secondary malignant neoplasm of unspecified site,Secondary malignant neoplasm of other sites
C7A022,10,Malignant carcinoid tumor of the ascending colon,Malignant neuroendocrine tumors
C7A093,10,Malignant carcinoid tumor of the kidney,Malignant neuroendocrine tumors
C8106,10,"Nodular lymphocyte predominant Hodgkin lymphoma, intrapelvic lymph nodes",Hodgkin lymphoma
C8131,10,"Lymphocyte depleted Hodgkin lymphoma, lymph nodes of head, face, and neck",Hodgkin lymphoma
C830,10,Small cell B-cell lymphoma,Non-Hodgkin lymphoma
C8306,10,"Small cell B-cell lymphoma, intrapelvic lymph nodes",Non-Hodgkin lymphoma
C8471,10,"Anaplastic large cell lymphoma, ALK-negative, lymph nodes of head, face, and neck",Mature T/NK-cell lymphomas
C863,10,Subcutaneous panniculitis-like T-cell lymphoma,Other specified types of T/NK-cell lymphoma
C884,10,Extranodal marginal zone B-cell lymphoma of mucosa-associated lymphoid tissue [MALT-lymphoma],Malignant immunoproliferative diseases
C91A,10,Mature B-cell leukemia Burkitt-type,Leukemia
C9511,10,"Chronic leukemia of unspecified cell type, in remission",Leukemia of unspecified cell type
C965,10,Multifocal and unisystemic Langerhans-cell histiocytosis,"Other and unspecified malignant neoplasms of lymphoid, hematopoietic, and related tissue"
C040,10,Malignant neoplasm of anterior floor of mouth,Malignant neoplasm of floor of mouth
C109,10,"Malignant neoplasm of oropharynx, unspecified",Malignant neoplasm of oropharynx
C153,10,Malignant neoplasm of upper third of esophagus,Gastrointestinal Cancer
C318,10,Malignant neoplasm of overlapping sites of accessory sinuses,Malignant neoplasm of accessory sinuses
C4A21,10,Merkel cell carcinoma of right ear and external auricular canal,Merkel cell carcinoma
C56,10,Malignant neoplasm of ovary,Malignant neoplasm of ovary
C6931,10,Malignant neoplasm of right choroid,Malignant neoplasm of eye and adnexa
C7222,10,Malignant neoplasm of left olfactory nerve,"Malignant neoplasm of spinal cord, cranial nerves, and other parts of CNS"
C7A020,10,Malignant carcinoid tumor of the appendix,Malignant neuroendocrine tumors
C8126,10,"Mixed cellularity Hodgkin lymphoma, intrapelvic lymph nodes",Hodgkin lymphoma
C8373,10,"Burkitt lymphoma, intra-abdominal lymph nodes",Non-Hodgkin lymphoma
C8473,10,"Anaplastic large cell lymphoma, ALK-negative, intra-abdominal lymph nodes",Mature T/NK-cell lymphomas
C84Z7,10,"Other mature T/NK-cell lymphomas, spleen",Mature T/NK-cell lymphomas
C8582,10,"Other specified types of non-Hodgkin lymphoma, intrathoracic lymph nodes",Other specified and unspecified types of non-Hodgkin lymphoma
C8590,10,"Non-Hodgkin lymphoma, unspecified, unspecified site",Other specified and unspecified types of non-Hodgkin lymphoma
C9132,10,"Prolymphocytic leukemia of B-cell type, in relapse",Leukemia
C91Z2,10,"Other lymphoid leukemia, in relapse",Leukemia
C920,10,Acute myeloblastic leukemia,Leukemia
C9200,10,"Acute myeloblastic leukemia, not having achieved remission",Leukemia
C921,10,"Chronic myeloid leukemia, BCR/ABL-positive",Leukemia
C9230,10,"Myeloid sarcoma, not having achieved remission",Leukemia
C9241,10,"Acute promyelocytic leukemia, in remission",Leukemia
C9481,10,"Other specified leukemias, in remission",Other leukemias of specified cell types
C969,10,"Malignant neoplasm of lymphoid, hematopoietic and related tissue, unspecified","Other and unspecified malignant neoplasms of lymphoid, hematopoietic, and related tissue"
C221,10,Intrahepatic bile duct carcinoma,Malignant neoplasm of liver and intrahepatic bile ducts
C380,10,Malignant neoplasm of heart,"Malignant neoplasm of heart, mediastinum, and pleura"
C382,10,Malignant neoplasm of posterior mediastinum,"Malignant neoplasm of heart, mediastinum, and pleura"
C402,10,Malignant neoplasm of long bones of lower limb,Malignant neoplasm of bone and articular cartilage of limbs
C411,10,Malignant neoplasm of mandible,Malignant neoplasm of bone and articular cartilage of other sites
C4400,10,Unspecified malignant neoplasm of skin of lip,Other malignant neoplasms of skin
C44309,10,Unspecified malignant neoplasm of skin of other parts of face,Other malignant neoplasms of skin
C44510,10,Basal cell carcinoma of anal skin,Other malignant neoplasms of skin
C44519,10,Basal cell carcinoma of skin of other part of trunk,Other malignant neoplasms of skin
C446,10,"Other and unspecified malignant neoplasm of skin of upper limb, including shoulder",Other malignant neoplasms of skin
C44609,10,"Unspecified malignant neoplasm of skin of left upper limb, including shoulder",Other malignant neoplasms of skin
C4469,10,"Other specified malignant neoplasm of skin of upper limb, including shoulder",Other malignant neoplasms of skin
C46,10,Kaposi's sarcoma,Kaposi's sarcoma
C482,10,"Malignant neoplasm of peritoneum, unspecified",Malignant neoplasm of retroperitoneum and peritoneum
